id	type	origin	destination	demand
2415	111	125669	226399	20.3856
2416	111	125669	230631	1.6988
2417	111	125669	231786	270.61852
2418	111	125669	231791	44.9871
2419	111	125545	226307	8.0
2420	111	125545	225669	146.91090000000003
2421	111	125545	225673	0.049866
2422	111	125545	233096	3.0
2423	111	125545	225551	761.0
2424	111	125545	232077	2.0518
2425	111	125545	225553	798.0
2426	111	125545	200849	60.47095
2427	111	125545	229913	8.039347
2428	111	125545	200345	3.0747899999999997
2429	111	125545	200344	15.373949999999999
2430	111	125545	233122	1.0
2431	111	125545	225698	70.04773
2432	111	125545	232097	56.403349999999996
2433	111	125545	200359	22.54851
2434	111	125545	200358	12.299159999999999
2435	111	125545	200356	10.249299999999998
2436	111	125545	200363	3.07479
2437	111	125545	200362	49.196619999999996
2438	111	125545	200361	27.67313
2439	111	125545	200360	10.2493
2440	111	125545	226359	16.0
2441	111	125545	200375	12.299159999999999
2442	111	125545	200374	13.324089999999998
2443	111	125545	200373	9.22437
2444	111	125545	200372	55.34626000000001
2445	111	125545	231483	1.0
2446	111	125545	200379	160.91418000000002
2447	111	125545	226234	4.0
2448	111	125545	200378	142.46545
2449	111	125545	200377	59.44596
2450	111	125545	200376	21.523529999999997
2451	111	125545	200383	32.79778
2452	111	125545	200382	77.89473
2453	111	125545	231229	2.0
2454	111	125545	225469	178.0
2455	111	125545	200381	225.48489999999998
2456	111	125545	226364	31.0
2457	111	125545	200380	152.71480000000003
2458	111	125545	201410	10.249299999999998
2459	111	125545	200386	9.224369999999999
2460	111	125545	201409	28.698090000000004
2461	111	125545	200385	17.42381
2462	111	125545	201408	62.52078
2463	111	125545	200384	22.548459999999995
2464	111	125545	201413	36.8975
2465	111	125545	230479	43.48837
2466	111	125545	200403	98.39338
2467	111	125545	226386	116.65422
2468	111	125545	230615	32.59011
2469	111	125545	200407	52.27152
2470	111	125545	200406	144.51510000000002
2471	111	125545	200405	160.91400000000002
2472	111	125545	200404	28.698059999999998
2473	111	125545	226393	5.0846540000000005
2474	111	125545	230616	41.621370000000006
2475	111	125545	226399	19.0
2476	111	125545	230631	1.0
2477	111	125545	231786	10.0
2478	111	125545	231791	14.9957
2479	111	125545	231027	10.794080000000001
2480	111	125545	231551	53.44358000000001
2481	111	133099	226307	10.0
2482	111	133099	225545	2.0
2483	111	133099	225673	1.5209142
2484	111	133099	233096	31.0
2485	111	133099	225551	43.0
2486	111	133099	232077	5.74504
2487	111	133099	200849	19.69737
2488	111	133099	229913	2.923399
2489	111	133099	200345	27.99098
2490	111	133099	200344	39.394639999999995
2491	111	133099	225698	11.242237
2492	111	133099	232097	150.8462
2493	111	133099	200359	35.247870000000006
2494	111	133099	200358	47.68829000000001
2495	111	133099	200356	15.55054
